AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Education,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Teenhome,Time_Customer
0,0,0,0,0,41,0,Graduation,26646,1,Together,10,4,5,20,3,11,0,2,4,2,6,26,0,11.236139630390143
0,0,0,0,0,79,0,Graduation,37760,0,Together,150,5,28,38,12,84,1,2,6,4,7,20,0,12.681724845995893
0,0,0,0,0,40,0,Master,20559,1,Married,3,1,7,29,0,13,0,2,3,2,8,88,0,12.153319644079398
0,0,0,0,0,68,0,Graduation,65486,0,Widow,37,19,14,125,67,245,2,1,10,4,2,29,1,10.986995208761122
0,0,0,0,0,61,0,Master,79143,0,Married,27,37,32,780,167,650,9,1,13,6,3,2,0,12.736481861738536
0,0,1,0,0,60,0,Graduation,56046,0,Together,0,0,51,64,0,577,1,2,8,10,8,9,0,12.342231348391513
0,0,0,0,0,62,0,Master,38620,0,Together,34,17,89,44,22,112,5,1,3,2,3,56,0,11.989048596851472
0,0,0,0,0,53,0,Graduation,51813,1,Divorced,0,2,2,7,1,51,0,2,3,2,7,37,1,12.071184120465434
0,0,0,0,0,46,0,Basic,24594,1,Together,10,3,9,6,0,1,0,1,3,1,5,94,0,11.405886379192333
0,0,0,0,0,47,0,Graduation,38557,1,Single,4,3,27,31,4,76,1,2,3,3,7,17,0,12.380561259411362
0,0,0,0,0,63,0,Graduation,50785,1,Single,0,1,27,21,1,64,1,2,3,2,6,27,1,11.655030800821356
0,0,0,0,0,72,0,Master,56129,0,Together,39,48,48,133,72,320,2,4,10,6,4,65,1,11.879534565366187
0,0,0,0,0,53,0,2n Cycle,46344,0,Together,8,20,91,57,20,233,1,4,5,7,7,28,1,12.394250513347023
0,0,0,0,0,67,0,Master,30523,2,Single,0,0,5,3,0,5,0,1,2,1,7,0,1,11.849418206707734
0,0,0,0,0,73,0,Graduation,51537,0,Divorced,0,20,92,204,0,787,2,3,11,2,8,27,1,12.407939767282683
0,0,0,0,0,55,0,Graduation,22070,1,Together,8,7,21,19,2,10,2,2,2,2,6,11,0,11.589322381930184
0,0,0,0,0,69,0,Graduation,60714,0,Single,101,162,162,224,92,216,4,2,10,7,5,56,0,12.301163586584531
0,0,0,0,0,51,0,Graduation,30631,1,Married,4,6,20,20,5,15,1,1,2,3,7,75,0,11.819301848049282
0,0,0,0,0,53,0,Graduation,30675,1,Married,11,2,21,16,2,10,0,1,3,1,8,14,0,12.48186173853525
0,0,0,0,1,126,0,PhD,83532,0,Together,104,144,224,562,64,755,6,1,4,4,1,36,0,11.611225188227241
0,0,0,1,0,70,0,Graduation,50737,0,Married,0,0,10,11,0,78,0,1,4,2,6,61,1,11.989048596851472
0,0,0,0,0,82,1,Master,65073,0,Married,69,17,8,177,0,629,3,1,5,5,2,65,0,11.71252566735113
0,0,0,0,0,50,0,Master,46098,1,Single,0,0,36,27,0,57,2,4,2,3,8,86,1,12.71731690622861
0,0,0,0,0,65,0,Graduation,63381,0,Together,33,50,159,142,50,571,5,4,13,4,2,78,1,12.58590006844627
0,0,0,0,0,53,0,PhD,27213,1,Single,10,3,3,26,9,19,0,3,4,2,8,19,0,12.684462696783026
1,0,0,1,0,36,0,Graduation,75433,1,Married,0,0,57,297,34,800,5,2,10,2,6,28,0,11.08829568788501
